date,positive,negative,neutral
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.16000,0.16000,0.68000
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.06667,0.06667,0.86667
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.07692,0.00000,0.92308
2018-06-03,0.07692,0.00000,0.92308
2018-06-03,0.03226,0.03226,0.93548
2018-06-03,0.15385,0.00000,0.84615
2018-06-03,0.11765,0.00000,0.88235
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.10000,0.00000,0.90000
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.16667,0.00000,0.83333
2018-06-03,0.27451,0.03922,0.68627
2018-06-03,0.05000,0.00000,0.95000
2018-06-03,0.25000,0.00000,0.75000
2018-06-03,0.11111,0.00000,0.88889
2018-06-03,0.12903,0.06452,0.80645
2018-06-03,0.22222,0.00000,0.77778
2018-06-03,0.03226,0.00000,0.96774
2018-06-03,0.08333,0.00000,0.91667
2018-06-03,0.05000,0.00000,0.95000
2018-06-03,0.02128,0.00000,0.97872
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.05000,0.00000,0.95000
2018-06-03,0.03030,0.03030,0.93939
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.04762,0.04762,0.90476
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.11111,0.00000,0.88889
2018-06-03,0.18750,0.18750,0.62500
2018-06-03,0.10000,0.00000,0.90000
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.12245,0.00000,0.87755
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.22222,0.00000,0.77778
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.11111,0.11111,0.77778
2018-06-03,0.04651,0.00000,0.95349
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.05714,0.00000,0.94286
2018-06-03,0.07692,0.07692,0.84615
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.08696,0.08696,0.82609
2018-06-03,0.09524,0.09524,0.80952
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.13043,0.00000,0.86957
2018-06-03,0.08696,0.00000,0.91304
2018-06-03,0.14706,0.08824,0.76471
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.14286,0.14286,0.71429
2018-06-03,0.05000,0.00000,0.95000
2018-06-03,0.02128,0.02128,0.95745
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.18182,0.00000,0.81818
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.00000,0.00000,0.99999
2018-06-03,0.00000,0.00000,0.99999
2018-06-04,0.18519,0.00000,0.81481
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.08889,0.00000,0.91111
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.17647,0.00000,0.82353
2018-06-04,0.11765,0.11765,0.76471
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.04348,0.04348,0.91304
2018-06-04,0.16000,0.00000,0.84000
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.37500,0.00000,0.62500
2018-06-04,0.14894,0.00000,0.85106
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.07692,0.07692,0.84615
2018-06-04,0.05714,0.00000,0.94286
2018-06-04,0.10000,0.10000,0.80000
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.08824,0.08824,0.82353
2018-06-04,0.21739,0.00000,0.78261
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.16667,0.16667,0.66667
2018-06-04,0.06250,0.00000,0.93750
2018-06-04,0.16000,0.08000,0.76000
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.06667,0.06667,0.86667
2018-06-04,0.06452,0.06452,0.87097
2018-06-04,0.34783,0.00000,0.65217
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.06250,0.00000,0.93750
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.13333,0.00000,0.86667
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.36364,0.00000,0.63636
2018-06-04,0.06667,0.00000,0.93333
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.03846,0.03846,0.92308
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.09091,0.00000,0.90909
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.06977,0.06977,0.86047
2018-06-04,0.14286,0.10714,0.75000
2018-06-04,0.19355,0.00000,0.80645
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.10256,0.00000,0.89744
2018-06-04,0.36364,0.00000,0.63636
2018-06-04,0.02083,0.00000,0.97917
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.11765,0.11765,0.76471
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.03571,0.03571,0.92857
2018-06-04,0.28000,0.04000,0.68000
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.06000,0.02000,0.92000
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.04167,0.04167,0.91667
2018-06-04,0.25000,0.00000,0.75000
2018-06-04,0.04348,0.04348,0.91304
2018-06-04,0.05882,0.00000,0.94118
2018-06-04,0.20000,0.00000,0.80000
2018-06-04,0.00000,0.00000,0.99999
2018-06-04,0.03448,0.03448,0.93103
2018-06-05,0.02041,0.02041,0.95918
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.11538,0.11538,0.76923
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.10000,0.06667,0.83333
2018-06-05,0.25000,0.00000,0.75000
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.06250,0.06250,0.87500
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.03448,0.03448,0.93103
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.08000,0.00000,0.92000
2018-06-05,0.09524,0.00000,0.90476
2018-06-05,0.13158,0.00000,0.86842
2018-06-05,0.12500,0.00000,0.87500
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.33333,0.13333,0.53333
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.18182,0.00000,0.81818
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.03226,0.03226,0.93548
2018-06-05,0.02041,0.02041,0.95918
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.23529,0.17647,0.58824
2018-06-05,0.36364,0.00000,0.63636
2018-06-05,0.15385,0.00000,0.84615
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.60000,0.00000,0.40000
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.20000,0.00000,0.80000
2018-06-05,0.20000,0.00000,0.80000
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.09804,0.09804,0.80392
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.16667,0.00000,0.83333
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.12500,0.12500,0.75000
2018-06-05,0.04878,0.00000,0.95122
2018-06-05,0.50000,0.00000,0.50000
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.16667,0.00000,0.83333
2018-06-05,0.00000,0.00000,0.99999
2018-06-05,0.05714,0.00000,0.94286
2018-06-05,0.15000,0.00000,0.85000
2018-06-05,-0.05556,0.00000,0.99999
2018-06-06,0.00000,0.00000,0.99999
2018-06-06,0.09091,0.09091,0.81818
2018-06-06,0.00000,0.00000,0.99999
2018-06-06,0.00000,0.00000,0.99999
2018-06-06,0.22222,0.00000,0.77778
2018-06-06,0.07692,0.00000,0.92308
2018-06-06,0.00000,0.00000,0.99999
2018-06-06,0.16000,0.00000,0.84000
2018-06-06,0.06061,0.06061,0.87879
2018-06-06,0.00000,0.00000,0.99999
2018-06-06,0.00000,0.00000,0.99999
2018-06-06,0.25000,0.16667,0.58333
